اسم الجهة الحكومية,نوع الفعالية,عنوان الفعالية,تاريخ بداية الفعالية,تاريخ نهاية الفعالية,نوع الموقع,موقع الفعالية,المدينة,رقم الطلب
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,تأهيل القيادات في العمل التطوعي,1/4/2026,1/4/2026,فنادق,فندق حياة الرجنسي,الرياض,GOV-2025-2193
معهد الادارة العامة,ورشة عمل,كتابة الكراسات الحكومية,1/4/2026,1/5/2026,فنادق,فندق هيلتون جارد ان المركز المالي,الرياض,GOV-2025-2194
معهد الادارة العامة,دورة تدريبية,ادارة السلامة المهنية,1/1/2026,1/1/2026,فنادق,فندق فوكو,الخبر,GOV-2025-2195
مكتب شؤون المهمات والمبادرات,ورشة عمل,ورشة عمل مكتب العلاقات الدولية                                                                               ورشة عمل,1/7/2026,1/7/2026,فنادق,فندق موفنبيك,الرياض,GOV-2026-0003
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,المنصة الوطنية للعمل التطوعي,1/5/2026,1/5/2026,فنادق,حياة الرجنسي,الرياض,GOV-2026-0005
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,بناء المبادرات والفرص التطوعية,1/6/2026,1/6/2026,فنادق,حياة الرجنسي,الرياض,GOV-2026-0006
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,التأهيل الشامل المتطوعين في القطاع غير الربحي,1/5/2026,1/5/2026,فنادق,سوفتيل الكورنيش,الخبر,GOV-2026-0008
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,تصميم الفرص التطوعية الثقافية في خدمة ضيوف الرحمن,1/6/2026,1/6/2026,فنادق,فور بوينتس,مكة المكرمة,GOV-2026-0009
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,تفعيل وإدارة الفرص التطوعية,1/8/2026,1/8/2026,فنادق,روزوود,جدة,GOV-2026-0011
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,ورشة تعريفية لمنصة التطوع القطاع الخاص,1/8/2026,1/8/2026,فنادق,حياة الرجنسي,الرياض,GOV-2026-0012
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,السياسات المثلى للجهات الأشرافية,1/7/2026,1/7/2026,فنادق,حياة الرجنسي,الرياض,GOV-2026-0015
المركز الوطني لتنمية القطاع غير الربحي,ورشة عمل,التفعيل الذاتي للجهات الإشرافية,1/7/2026,1/7/2026,فنادق,روزوود,جدة,GOV-2026-0016
مركز مشاريع البنية التحتية بمنطقة الرياض,ورشة عمل,فريق العمل المشترك,1/11/2026,1/11/2026,فنادق,فندق الفيرمونت,الرياض,GOV-2026-0018
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,اعتماد المدرب,1/11/2026,1/14/2026,فنادق,فوكو,الخبر,GOV-2026-0020
هيئة الحكومة الرقمية,ورشة عمل,الدروس المستفادة من مؤشر الامم المتحدة لتطوير الحكومة الالكترونية,1/6/2026,1/6/2026,فنادق,موفنبيك الرياض,الرياض,GOV-2026-0023
مكتب شؤون المهمات والمبادرات,ورشة عمل,عرض إنجازات قطاع التقنية وإستراتيجية القطاع,1/8/2026,1/8/2026,فنادق,فندق بوتيك المشرق,الرياض,GOV-2026-0026
برنامج تطوير الصناعة الوطنية والخدمات اللوجستية,دورة تدريبية,االمعسكر التدريبي لبرنامج ألف ميل بنسخته الرابعة,1/29/2026,1/31/2026,مراكز معارض و مؤتمرات,جامعة اليمامة,الرياض,GOV-2026-0027
الهيئة السعوديه لتنظيم الكهرباء,اجتماع,لقاء المحافظ مع منسوبي الهيئة,1/29/2026,1/29/2026,فنادق,فندق الفيرمونت,الرياض,GOV-2026-0033
هيئة الحكومة الرقمية,دورة تدريبية,برمجيات مفتوحة المصدر للمحترفين,1/12/2026,1/15/2026,فنادق,كراون بلازا - المدينة الرقمية,الرياض,GOV-2026-0040
وزارة الصحة,ورشة عمل,القيادة والإبداع والقيمة,2/2/2026,2/5/2026,فنادق,فندق جراند حياة,الخبر,GOV-2026-0046
مركز وقاء,دورة تدريبية,إدارة المشاريع,1/11/2026,1/15/2026,فنادق,فندق مداريم كراون,الرياض,GOV-2026-0053
المركز الوطني لسلامة النقل,ورشة عمل,ورشة عمل الاستراتيجية الخاصة لقطاع تحقيقات السلامة والابحاث,1/12/2026,1/12/2026,فنادق,فندق موفنبيك,الرياض,GOV-2026-0058
جامعة نايف العربية للعلوم الامنية,دورة تدريبية,تأمين الفعاليات الترفيهية,1/8/2026,1/15/2026,فنادق,سن ست جدة,جدة,GOV-2026-0059
وزارة الصناعة والثروة المعدنية,اجتماع,الاجتماع الوزاري المصاحب لمؤتمر التعدين الدولي,1/13/2026,1/13/2026,فنادق,فندق الريتزكارلتون الرياض,الرياض,GOV-2026-0070
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,تحليل البيانات باستخدام اكسل,1/11/2026,1/15/2026,فنادق,فيتوري بالاس,الرياض,GOV-2026-0071
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,قيادة تجربة المكلفين من التواصل الأول إلى الولاء المستدام,1/11/2026,1/13/2026,فنادق,فتوري بالاس,الرياض,GOV-2026-0072
الهيئة السعودية للبيانات والذكاء الاصطناعي,دورة تدريبية,CDMP,1/11/2026,1/15/2026,فنادق,فندق نارسيس رويال,مكة المكرمة,GOV-2026-0074
الاتحاد السعودي لكرة القدم,دورة تدريبية,الاتحاد السعودي لكرة القدم,1/11/2026,1/11/2026,فنادق,هوليداي ان كورنيش جدة,جدة,GOV-2026-0075
الهيئة العامة للعقار,ورشة عمل,ورش عمل الاحاطة بنظام تملك غير السعوديين للعقار,1/14/2026,1/15/2026,فنادق,فندق رايدسون بلو العليا,الرياض,GOV-2026-0078
وزارة الصناعة والثروة المعدنية,اجتماع,اجتماع بشأن مؤتمر التعدين الدولي,1/14/2026,1/14/2026,مراكز معارض و مؤتمرات,قاعة الملفى,الرياض,GOV-2026-0082
الهيئة السعوديه لتنظيم الكهرباء,ورشة عمل,ورشة عمل لقاء المستهلكين,1/14/2026,1/14/2026,فنادق,فندق هيلتون دبل تري - المركز المالي,الرياض,GOV-2026-0083
الهيئة السعوديه لتنظيم الكهرباء,ورشة عمل,ورشة عمل لقاء المستهلكين,1/21/2026,1/21/2026,فنادق,فندق بريرا,الرس,GOV-2026-0084
الهيئة السعوديه لتنظيم الكهرباء,اجتماع,اجتماع قيادات قطاع المستهلكين بالهيئة السعودية لتنظيم الكهرباء,1/21/2026,1/21/2026,فنادق,فندق فوكو,الرياض,GOV-2026-0085
الهيئة الملكية لمدينة مكة المكرمة والمشاعر المقدسة,ورشة عمل,ورشة عمل المخطط الشامل,1/13/2026,1/13/2026,فنادق,اصيلة التحلية جدة,جدة,GOV-2026-0102
هيئة الاتصالات والفضاء والتقنية,اجتماع,لقاء الادارة السنوي,1/13/2026,1/13/2026,فنادق,فندق بوتيك المشرق,الرياض,GOV-2026-0103
وزارة الحج والعمرة,ورشة عمل,ورشة دراسة تنظيم عمرة الداخل,1/13/2026,1/13/2026,فنادق,جدة - الاندلس,جدة,GOV-2026-0104
هيئة الحكومة الرقمية,دورة تدريبية,تحسين محركات البحث,1/19/2026,1/21/2026,فنادق,راديسون بلو - المعارض والمؤتمرات,الرياض,GOV-2026-0111
برنامج تطوير وزارة الداخلية,دورة تدريبية,دورة مقيميي الابتكار,2/1/2026,2/3/2026,فنادق,فندق راديسون وريزيدنس الرياض العليا,الرياض,GOV-2026-0118
برنامج تطوير وزارة الداخلية,دورة تدريبية,دورة تدريب المدربين الابتكار,2/8/2026,2/10/2026,فنادق,فندق راديسون وريزيدنس الرياض العليا,الرياض,GOV-2026-0119
جامعة القصيم,دورة تدريبية,Waste Heat Recovery and Energy Efficiency,1/18/2026,1/22/2026,فنادق,فندق روش ريحان من روتانا,الرياض,GOV-2026-0126
المركز السعودي للتحكيم التجاري,اجتماع,اجتماع الجمعية العامة لمحكمة الاستثمار العربية الأول,2/2/2026,2/2/2026,فنادق,فندق سوفتيل الرياض,الرياض,GOV-2026-0127
المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,ورشة عمل,ورشه عمل حمايه وتنمية نباتات العرعر,1/21/2026,1/21/2026,فنادق,فندق إنتركونتيننتال,الطائف,GOV-2026-0128
الهيئة العامة للتجارة الخارجية,اجتماع,مجلس التجارة والاستثمار السعودي الأمريكي,1/20/2026,1/21/2026,فنادق,فندق ماريوت حي السفارات,الرياض,GOV-2026-0129
المركز السعودي للتحكيم التجاري,اجتماع,اجتماع الجمعية العامة لمحكمة الاستثمار العربية الثاني,2/3/2026,2/3/2026,فنادق,فندق سوفتيل الرياض,الرياض,GOV-2026-0130
مدينة الملك سعود الطيبة,اجتماع,إجتماع اللقاء السنوي,2/7/2026,2/7/2026,مرافق عامة,منتجع ماربيلا,الرياض,GOV-2026-0131
المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,ورشة عمل,اعتمادات الكربون للحلول القائمة على الطبيعة,1/25/2026,1/27/2026,فنادق,النوفوتيل الصحافة,الرياض,GOV-2026-0132
المركز السعودي للتحكيم التجاري,ورشة عمل,برنامج الحوار القضائي الإقليمي لقضاة الدول العربية بشأن اتفاقية نيويورك للاعتراف بأحكام التحكيم الأجنبية وتنفيذها,2/5/2026,2/5/2026,فنادق,فندق سوفيتيل الرياض,الرياض,GOV-2026-0133
مركز الإسناد والتصفية إنفاذ,ورشة عمل,ورشة عمل مع مزودي الخدمات,1/20/2026,1/20/2026,فنادق,"فندق راديسون وريزيدنس الرياض العليا،",الرياض,GOV-2026-0135
جامعة القصيم,دورة تدريبية,كفاءة الطاقة واستعادة الحرارة المهدرة,1/18/2026,1/22/2026,فنادق,فندق روش ريحان من روتانا,الرياض,GOV-2026-0136
الهيئة العامة للإحصاء,دورة تدريبية,دورة القيادة الاحصائية,1/18/2026,1/22/2026,فنادق,فندق فيرمونت,الرياض,GOV-2026-0137
مركز الإسناد والتصفية إنفاذ,ورشة عمل,ورش عمل مع مزودي الخدمات,2/3/2026,2/3/2026,فنادق,"فندق راديسون وريزيدنس الرياض العليا، ",الرياض,GOV-2026-0138
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها مركز وقاء,اجتماع,اجتماع تبادل الخبرات والمعارف التطبيقية وفق منهجية الإدارة المتكاملة لآفات الخضار داخل البيوت المحمية بين مزارعي ومختصي دول إقليم الشرق الأدنى وشمال أفريقيا,1/18/2026,1/20/2026,فنادق,فندق دبل تري الرياض,الرياض,GOV-2026-0139
مركز الإسناد والتصفية إنفاذ,ورشة عمل,ورش العمل مع مزودي الخدمات,1/27/2026,1/27/2026,فنادق,فندق راديسون وريزيدنس الرياض العليا,الرياض,GOV-2026-0140
مركز الإسناد والتصفية إنفاذ,ورشة عمل,ورش عمل مزودي الخدمات,2/10/2026,2/10/2026,فنادق,"فندق راديسون وريزيدنس الرياض العليا، ",الرياض,GOV-2026-0141
معهد الدراسات والخدمات الاستشارية بجامعة المجمعة,ورشة عمل,برنامج تمكين الكفاءات,1/18/2026,1/26/2026,فنادق,فندق موفنبيك,الرياض,GOV-2026-0142
المركز السعودي للتحكيم التجاري,اجتماع,اللقاء السنوي لعمداء كليات الحقوق,2/1/2026,2/1/2026,فنادق,فندق سوفتيل الرياض,الرياض,GOV-2026-0151
المؤسسة العامة للتأمينات الاجتماعية,اجتماع,مناقشة الأداء المؤسسي للعام الماضي,1/15/2026,1/15/2026,فنادق,هيلتون الرياض,الرياض,GOV-2026-0157
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها مركز وقاء,اجتماع,اجتماع التكيف مع التغيير وقيادة الابتكار,1/18/2026,1/19/2026,فنادق,فندق نارسيس ذا رويال,الرياض,GOV-2026-0158
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها مركز وقاء,اجتماع,اجتماع تمكين الفرق وبناء التفاعل الجماعي,1/20/2026,1/21/2026,فنادق,فندق نارسيس ذا روبال,الرياض,GOV-2026-0159
الجامعة السعودية الالكترونية,دورة تدريبية,دورة نظام المنافسات والمشتريات الحكومية,1/18/2026,1/22/2026,فنادق,فندق ميرتل الصحافة,الرياض,GOV-2026-0161
هيئة الحكومة الرقمية,ورشة عمل,تحول الإجراءات الحكومية,1/21/2026,1/21/2026,فنادق,كراون بلازا - الرياض,الرياض,GOV-2026-0165
الهيئة الملكية للجبيل وينبع,ورشة عمل,خيارات التمويل البديلة للمنشآت المتوسطة والصغيرة بشراكة مع الهيئة العامة للمنشآت الصغيرة و المتوسطة,2/4/2026,2/4/2026,مراكز معارض و مؤتمرات,الهيئة الملكية بينبع,ينبع الصناعية,GOV-2026-0171
المركز السعودي للتحكيم التجاري,اجتماع,الافتتاح الرسمي لإسبوع الرياض الدولي لتسوية المنازعات,2/1/2026,2/1/2026,فنادق,فندق السوفتيل,الرياض,GOV-2026-0174
مجلس الضمان الصحي,ورشة عمل,ورشة عمل الإستراتيجية خارطة طريق,1/28/2026,1/29/2026,فنادق,فندق جراند حياة,الخبر,GOV-2026-0182
مركز الإسناد والتصفية إنفاذ,ورشة عمل,ورشة التسويق الاحترافي للمزادات العقارية,1/26/2026,1/27/2026,فنادق,فندق ريديسون بلو – قرطبة,الرياض,GOV-2026-0183
مدينة الامير سلطان الطبية العسكرية,اجتماع,اجتماع المتقاعدين,1/19/2026,1/19/2026,فنادق,فندق ماريوت الرياض,الرياض,GOV-2026-0186
الهيئة الملكية لمدينة مكة المكرمة والمشاعر المقدسة,ورشة عمل,مناقشة اداء الربع الرابع,1/20/2026,1/22/2026,فنادق,فندق مادن,المدينة المنورة,GOV-2026-0188
وزارة النقل والخدمات اللوجستية,دورة تدريبية,العادات السبع للأشخاص ذو فعالية العالية,1/21/2026,1/22/2026,فنادق,فندق راديسون بلو قرطبة,الرياض,GOV-2026-0190
وزارة الإعلام,ورشة عمل,المؤسسات الصحفية,1/21/2026,1/21/2026,فنادق,فندق باب سمحان,الرياض,GOV-2026-0192
وزارة النقل والخدمات اللوجستية,دورة تدريبية,العادات السبع للأشخاص ذوي الفعالية العالية,1/21/2026,1/22/2026,فنادق,فندق راديسون بلو قرطبة,الرياض,GOV-2026-0193
مؤسسة كأس العالم للرياضات الالكترونية,ورشة عمل,المسار الترويجي لكأس العالم للرياضات الالكترونية,1/20/2026,1/20/2026,فنادق,فندق هيلتون غرناطة,الرياض,GOV-2026-0200
الهيئة العامة للتجارة الخارجية,دورة تدريبية,دورة النمذجة والاقتصاد القياسي,1/20/2026,1/22/2026,فنادق,فندق دبل تري هيلتون,الرياض,GOV-2026-0203
الهيئة العامة للتجارة الخارجية,دورة تدريبية,برنامج حماية الصناعة المحلية,2/1/2026,2/5/2026,فنادق,فندق دبل تري هيلتون,الرياض,GOV-2026-0204
وزارة المالية,ورشة عمل,كشف التواطؤ للمنافسات الحكومية,1/20/2026,1/20/2026,فنادق,فندق مداريم,الرياض,GOV-2026-0205
وزارة المالية,ورشة عمل,كشف التواطؤ للمنافسات الحكومية,1/25/2026,1/27/2026,فنادق,فندق مداريم,الرياض,GOV-2026-0206
الهيئة السعودية للبيانات والذكاء الاصطناعي,دورة تدريبية,CIPT,1/19/2026,1/22/2026,فنادق,فندق فوكو,الرياض,GOV-2026-0208
وزارة المالية,دورة تدريبية,اساسيات الميزانية,1/20/2026,1/22/2026,فنادق,فندق نارسس,الرياض,GOV-2026-0209
مجمع الملك فهد الطبي بالظهران,اجتماع,الارتقاء بالمعايير,2/13/2026,2/13/2026,فنادق,فندق فوكو,الخبر,GOV-2026-0211
هيئة الحكومة الرقمية,دورة تدريبية,ادارة التغيير,1/25/2026,1/28/2026,فنادق,هوليدي ان الخبر,الخبر,GOV-2026-0212
الهيئة السعودية للبيانات والذكاء الاصطناعي,دورة تدريبية,CIPT,1/18/2026,1/22/2026,فنادق,نارسيس رويال,الرياض,GOV-2026-0213
جامعة القصيم,دورة تدريبية,كفاءة الطاقة واستعادة الحرارة المهدرة,1/25/2026,1/29/2026,فنادق,فندق شيراتون جدة,جدة,GOV-2026-0215
هيئة الحكومة الرقمية,دورة تدريبية,برمجيات مفتوحة المصدر للقيادات,1/26/2026,1/28/2026,فنادق,كراون بلازا  - المدينة الرقمية,الرياض,GOV-2026-0216
هيئة تطوير محمية الملك عبدالعزيز الملكية,ورشة عمل,الامن السيبراني,1/21/2026,1/21/2026,فنادق,روش ريحان روتانا,الرياض,GOV-2026-0218
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها وقاء,اجتماع,اجتماع بالمنطقة الشرقية,1/21/2026,1/21/2026,فنادق,فندق بريرا الدمام,الدمام,GOV-2026-0219
تجمع جدة الصحي الأول,اجتماع,الاجتماع السنوي للإدارة التنفيذية للتمريض,1/21/2026,1/21/2026,فنادق,فندق فوكو - حي الفيحاء,جدة,GOV-2026-0220
الهيئة السعودية للبيانات والذكاء الاصطناعي,دورة تدريبية,برنامج تصنيف البيانات,1/21/2026,1/22/2026,فنادق,فندق فوكو,الرياض,GOV-2026-0221
وزارة المالية,دورة تدريبية,برنامج اساسيات الميزانية,1/25/2026,1/29/2026,فنادق,فندق نارسس,الرياض,GOV-2026-0222
الهيئة السعودية للمياه,ورشة عمل,بناء القدرات والتواصل,1/22/2026,1/22/2026,فنادق,الرياض - فوكو,الرياض,GOV-2026-0230
هيئة المسرح والفنون الادائية,دورة تدريبية,دورة حاضنة المسرح,1/21/2026,2/17/2026,فنادق,فندق كورت يارد,الرياض,GOV-2026-0231
الهيئة السعودية للمياه,اجتماع,اللقاء السنوي للهيئة السعودية للمياه,1/28/2026,1/28/2026,صالات المناسبات,منتجع الفروسية العالمي,الرياض,GOV-2026-0232
أكاديمية مهد الرياضية,ورشة عمل,ورشة عمل مناقشة استراتيجية أكاديمية مهد,1/25/2026,1/29/2026,فنادق,انتركونتينيتال الرياض العليا,الرياض,GOV-2026-0238
المركز السعودي للتحكيم التجاري,اجتماع,التواصل من الشرق الأوسط للعالم,2/3/2026,2/3/2026,فنادق,فندق السوفتيل,الرياض,GOV-2026-0240
المركز السعودي للتحكيم التجاري,اجتماع,الاجتماع التركي السعودي نظرة عامة علي الاستثمار بين الدولتين,2/2/2026,2/2/2026,فنادق,فندق السوفتيل الرياض,الرياض,GOV-2026-0242
المركز السعودي للتحكيم التجاري,اجتماع,اجتماع حملة وزارة العدل البريطانية في الرياض,2/2/2026,2/2/2026,فنادق,فندق السوفتيل,الرياض,GOV-2026-0243
مؤسسة التأمينات الاجتماعية,اجتماع,اجتماع الاستثنائي لقيادات أجهزة التأمينات الاجتماعية لدول مجلس التعاون,2/12/2026,2/12/2026,فنادق,فندق باب سمحان - الدرعية,الرياض,GOV-2026-0246
هيئة الحكومة الرقمية,دورة تدريبية,هندسة تصميم الحلول السحابية,1/25/2026,1/28/2026,فنادق,انتركونتيننتال,الرياض,GOV-2026-0253
الهيئة العامة للموانئ,اجتماع,الاجتماع السنوي  للجنة مذكرة تفاهم الرياض للرقابة والتفتيش على السفن,2/3/2026,2/5/2026,فنادق,فندق دبل تري هيلتون المركز المالي,الرياض,GOV-2026-0256
المركز السعودي للتحكيم التجاري,اجتماع,اجتماع غرفة التجارية الدولية لفئة الشباب,2/2/2026,2/2/2026,غرف اجتماعات مستقله,شركة التميمي للمحاماة برج تداول,الرياض,GOV-2026-0265
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها وقاء,اجتماع,برنامج التكيّف مع التغيير وقيادة الابتكار,1/25/2026,1/26/2026,فنادق,نارسيس ذا رويال,الرياض,GOV-2026-0268
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها وقاء,اجتماع,برنامج تمكين الفرق وبناء التفاعل الجماعي,1/27/2026,1/28/2026,فنادق,نارسيس ذا رويال,الرياض,GOV-2026-0269
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها وقاء,اجتماع,برنامج التكيّف مع التغيير وقيادة الابتكار,2/1/2026,2/2/2026,فنادق,نارسيس ذا رويال,الرياض,GOV-2026-0270
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها وقاء,اجتماع,برنامج التكيّف مع التغيير وقيادة الابتكار,2/8/2026,2/9/2026,فنادق,نارسيس ذا رويال,الرياض,GOV-2026-0271
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها وقاء,اجتماع,برنامج تمكين الفرق وبناء التفاعل الجماعي,2/3/2026,2/4/2026,فنادق,نارسيس ذا رويال,الرياض,GOV-2026-0272
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها وقاء,اجتماع,برنامج تمكين الفرق وبناء التفاعل الجماعي,2/8/2026,2/9/2026,فنادق,نارسيس ذا رويال,الرياض,GOV-2026-0273
المجلس الصحي السعودي,ورشة عمل,الإهمال من منظور الصحة العامة,1/27/2026,1/27/2026,فنادق,فندق نارسس الرياض,الرياض,GOV-2026-0274
الاتحاد السعودي للمنطاد,اجتماع,الاجتماع السنوي للجنة المنطاد الدولية,2/4/2026,2/7/2026,فنادق,فندق كلاود 7 العلا,العلا,GOV-2026-0275
هيئة تطوير محمية الامام عبدالعزيز بن محمد الملكية,دورة تدريبية,اعداد التقارير والعروض المرئية,1/25/2026,1/28/2026,فنادق,فندق هوليداي ان - الازدهار,الرياض,GOV-2026-0276
الأكاديمية المالية,ورشة عمل,ورشة عمل التقرير السنوي,1/26/2026,1/26/2026,فنادق,فندق موفنبيك,الرياض,GOV-2026-0277
مكافحة التهريب الجمركي,دورة تدريبية,مكافحة التهريب الجمركي,2/1/2026,2/2/2026,فنادق,فوكو,الخبر,GOV-2026-0278
المجلس الصحي السعودي,ورشة عمل,الدليل التوعوي للسكري في رمضان والحج والعمرة,1/29/2026,1/29/2026,فنادق,فندق لومريديان الرياض,الرياض,GOV-2026-0280
الهيئة السعودية لتنظيم الكهرباء,ورشة عمل,ورشة عمل لقاء المستهلكين,1/27/2026,1/27/2026,فنادق,فندق الانتركونتينينتال الهفوف,الأحساء,GOV-2026-0283
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها وقاء,ورشة عمل,برنامج التكيّف مع التغيير وقيادة الابتكار,2/1/2026,2/2/2026,فنادق,نارسس ذا رويال,الرياض,GOV-2026-0285
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها وقاء,ورشة عمل,برنامج تمكين الفرق وبناء التفاعل الجماعي,1/27/2026,1/28/2026,فنادق,نارسس ذا رويال,الرياض,GOV-2026-0286
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,المراقبة الأمنية إجراءات الأمن والحماية,2/4/2026,2/5/2026,فنادق,فوكو,الخبر,GOV-2026-0287
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,استخدام تقنيات الذكاء الاصطناعي,2/1/2026,2/3/2026,فنادق,فوكو,الخبر,GOV-2026-0288
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,التفتيش الجمركي,2/8/2026,2/10/2026,فنادق,فوكو,الرياض,GOV-2026-0289
