اسم الجهة الحكومية,نوع الفعالية,عنوان الفعالية,تاريخ بداية الفعالية,تاريخ نهاية الفعالية,نوع الموقع,موقع الفعالية,المدينة,رقم الطلب
وزارة الثقافة,ورشة عمل,ورشة عمل نقل المعرفة,4/9/2026,4/9/2026,فنادق,فندق دبل تري / المركز المالي / طريق الدائري الشمالي,الرياض,GOV-2026-0589
هيئة الأفلام,دورة تدريبية,تدريب معتمد في مجال الذكاء الاصطناعي للمحترفين,5/6/2026,5/7/2026,فنادق,كروان بلازا الرياض فندق ومركز ومؤتمرات,الرياض,GOV-2026-0590
الهيئة السعودية للمقيّمين المعتمدين,دورة تدريبية,دورات تدريبية لمنتسبي الهيئة السعودية للمقيّمين المعتمدين,4/5/2026,4/16/2026,فنادق,فندق التنفيذيين الفندقية,الرياض,GOV-2026-0591
المدينة الطبية الجامعية,معرض توعوي,الشهر العالمي لسرطان الفم,4/10/2026,4/11/2026,مراكز تجارية,الحياة مول,الرياض,GOV-2026-0592
الهيئة السعودية للسياحة,ورشة عمل,برنامج إدارة الأفراد والأداء,4/12/2026,4/16/2026,فنادق,الكورت يارد - السفارات,الرياض,GOV-2026-0593
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,التقييم الجمركي,4/5/2026,4/7/2026,فنادق,فوكو الخبر,الخبر,GOV-2026-0594
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,تنمية مهارات الحس الأمني,4/8/2026,4/9/2026,فنادق,فوكو,الخبر,GOV-2026-0595
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,إدارة المخاطر الجمركية والاستهداف,4/12/2026,4/14/2026,فنادق,فوكو,الخبر,GOV-2026-0596
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,تحليل صور الاشعة السينية للحاويات والمركبات والطرود,4/5/2026,4/6/2026,فنادق,فوكو,الخبر,GOV-2026-0597
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,مهارات العرض والالقاء,4/5/2026,4/7/2026,فنادق,فيتوري بالاس,الرياض,GOV-2026-0598
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,لين سيجما الحزام الاصفر,4/21/2026,4/23/2026,فنادق,فيتوري بالاس,الرياض,GOV-2026-0599
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,تحليلات البيانات باستخدام الذكاء الاصطناعي,4/12/2026,4/14/2026,فنادق,فيتوري بالاس,الرياض,GOV-2026-0601
وزارة البيئة والزراعة والمياة,دورة تدريبية,إدارة الطوارئ والأزمات,4/5/2026,4/9/2026,فنادق,فندق فيتوري بالاس,الرياض,GOV-2026-0606
وزارة البيئة والمياه والزراعة,معرض توعوي,أسبوع البيئة,5/3/2026,5/9/2026,مراكز معارض و مؤتمرات,ساحة العروض بالدائري الشرقي,الرياض,GOV-2026-0607
هيئة تقويم التعليم والتدريب,ورشة عمل,ورشة رخص المعلمين التربوي,4/12/2026,4/13/2026,فنادق,فندق بريرا,الرياض,GOV-2026-0608
هيئة تقويم التعليم والتدريب,ورشة عمل,ورشة رخص المعلمين,4/12/2026,4/13/2026,فنادق,فندق بريرا,الرياض,GOV-2026-0609
هيئة تقويم التعليم والتدريب,ورشة عمل,ورشة اخصائي التقويم  المدرسي صباحي,4/12/2026,4/13/2026,فنادق,فندق بريرا قرطبة,الرياض,GOV-2026-0610
هيئة تقويم التعليم والتدريب,ورشة عمل,جاهزية مسائية,4/12/2026,4/13/2026,فنادق,فندق بريرا,الرياض,GOV-2026-0611
هيئة تقويم التعليم والتدريب,ورشة عمل,المهندسين,4/15/2026,4/16/2026,فنادق,فندق بريرا,الرياض,GOV-2026-0612
هيئة تقويم التعليم والتدريب,ورشة عمل,رخص المعلمين,4/19/2026,4/20/2026,فنادق,فندق بريرا,الرياض,GOV-2026-0613
هيئة تقويم التعليم والتدريب,ورشة عمل,رخص المعلمين المجموعة مسائية,4/19/2026,4/20/2026,فنادق,فندق بريرا,الرياض,GOV-2026-0614
هيئة تقويم التعليم والتدريب,ورشة عمل,رخص المعلمين المجموعة,4/26/2026,4/27/2026,فنادق,فندق بريرا,الرياض,GOV-2026-0616
هيئة تقويم التعليم والتدريب,ورشة عمل,تأهيل مراجعي الاعتماد الاكاديمي صباحي,4/26/2026,4/29/2026,فنادق,فندق بريرا,الرياض,GOV-2026-0617
هيئة تقويم التعليم والتدريب,ورشة عمل,ورشة عمل جاهزية  المهارات,4/29/2026,4/30/2026,فنادق,فندق بريرا,الرياض,GOV-2026-0618
هيئة تقويم التعليم والتدريب,ورشة عمل,اخصائي تقويم مدرسي صباحي,4/29/2026,4/30/2026,فنادق,فندق بريرا,الرياض,GOV-2026-0620
هيئة تقويم التعليم والتدريب,ورشة عمل,ورشة عمل جاهزية,4/22/2026,4/23/2026,فنادق,فندق بريرا,الرياض,GOV-2026-0623
سدايا,دورة تدريبية,برنامج تصنيف البيانات,4/5/2026,4/5/2026,فنادق,فندق فوكو الرياض,الرياض,GOV-2026-0628
المركز الوطني للنخيل والتمور,ورشة عمل,تعزيز وتنمية مهارات مرشدين الجمعيات الزارعية في الارشاد والتدريب في قطاع النخيل والتمور,4/7/2026,4/9/2026,فنادق,الأحساء انتركونتيننتال,الأحساء,GOV-2026-0629
الخدمات الصحية بوزارة الدفاع,معرض توعوي,اليوم العالمي لصحة الفم والأسنان,4/16/2026,4/18/2026,مراكز تجارية,بانوراما مول,الرياض,GOV-2026-0630
الاكاديمية المالية,دورة تدريبية,برنامج تدريب ادارة التجزئة,4/5/2026,4/5/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0631
الاكاديمية المالية,دورة تدريبية,برنامج تحليل القوائم المالية المستوى المتقدم,4/5/2026,4/6/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0632
الاكاديمية المالية,دورة تدريبية,برنامج التفكير الاستراتيجي والتنفيذ,4/5/2026,4/7/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0633
جامعة الملك سعود,معرض توعوي,نوم قويم,4/9/2026,4/10/2026,مراكز تجارية,واجهة روشن,الرياض,GOV-2026-0634
صندوق التنمية الثقافي,دورة تدريبية,المقيم الداخلي المعتمد وفق نموذج جائزة الملك عبدالعزيز للجودة,4/26/2026,4/30/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0636
وزارة المياة والبيئة والزارعة,دورة تدريبية,إدارة استمرارية الأعمال,5/3/2026,5/7/2026,فنادق,فندق فيتوري بالاس,الرياض,GOV-2026-0637
جامعة نجران,دورة تدريبية,الاستشارات الإعلامية,4/8/2026,4/9/2026,فنادق,فندق فيرمونت الرياض,الرياض,GOV-2026-0638
جامعة نجران,دورة تدريبية,تطوير ثقافة الابتكار وتعزيز بيئات العمل الإبداعية,4/7/2026,4/9/2026,فنادق,الخبر - هيلتون جاردن ان الخبر,الخبر,GOV-2026-0639
جامعة نجران,دورة تدريبية,الشهادة المتقدمة في تشغيل وإدارة مراكز العمليات الطارئة,4/7/2026,4/9/2026,فنادق,راديسون بلو السلام - جدة,جدة,GOV-2026-0640
وزارة المالية,دورة تدريبية,برنامج الرقابة الذاتية,4/26/2026,4/30/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0642
وزارة المالية,دورة تدريبية,برنامج الرقابة الذاتية,5/3/2026,5/7/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0643
معهد الإدارة العامة,دورة تدريبية,برنامج مهارات الإتصال الفعال,4/7/2026,4/9/2026,فنادق,فندق راديسون بلو الكورنيش,جدة,GOV-2026-0646
وزارة النقل والخدمات اللوجستية,دورة تدريبية,تحليل البيانات باستخدام مايكروسوفت اكسل,4/12/2026,4/16/2026,فنادق,فندق سنترو الواحة,الرياض,GOV-2026-0647
وزارة المالية,دورة تدريبية,برنامج الرقابة الذاتية,5/10/2026,5/14/2026,فنادق,بريرا النخيل,الرياض,GOV-2026-0648
جامعة القصيم,معرض توعوي,رفع مستوى الوعي المجتمعي باضطراب التوحد,4/16/2026,4/16/2026,مراكز تجارية,منتجع نخلا,بريدة,GOV-2026-0650
جامعة القصيم,معرض توعوي,حملة توعوية عن الخرف,4/16/2026,4/16/2026,مراكز تجارية,سدرة فالي بالرس,الرس,GOV-2026-0651
جامعة القصيم,معرض توعوي,التوعية بمرض الكلي المزمن,4/22/2026,4/24/2026,مراكز تجارية,منتجع نخلا,بريدة,GOV-2026-0652
جامعة القصيم,معرض توعوي,التوعية بالقالون العصبي,4/23/2026,4/23/2026,مراكز تجارية,منتجع شطفة بالبدائع,البدائع,GOV-2026-0653
جامعة القصيم,معرض توعوي,دور العلاج الطبيعي في تحسين جودة كبار السن,4/8/2026,4/8/2026,مراكز تجارية,الجديعي مول,بريدة,GOV-2026-0654
وزارة المالية,دورة تدريبية,برنامج الرقابة الذاتية,5/17/2026,5/21/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0655
جامعة القصيم,معرض توعوي,اليوم العالمي لمكافحة السمنة,4/12/2026,4/12/2026,مراكز تجارية,الجديعي مول,بريدة,GOV-2026-0656
الاكاديميه الماليه,دورة تدريبية,اختبارات خاصه بالاكاديمية الماليه,4/7/2026,4/9/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0657
الاكاديمية المالية,دورة تدريبية,برنامج التفكير التصميمي,4/7/2026,4/9/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0658
الاكاديمية المالية,دورة تدريبية,برنامج تدريب ادارة التجزئة,4/8/2026,4/9/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0659
معهد الإدارة العامة,دورة تدريبية,مهارات الإتصال الفعال,4/12/2026,4/14/2026,فنادق,فندق راديسون بلو الكورنيش,جدة,GOV-2026-0662
معهد الإدارة العامة,دورة تدريبية,مهارات الإتصال الفعال,4/14/2026,4/16/2026,فنادق,فندق راديسون بلو الكورنيش,جدة,GOV-2026-0664
جامعة الملك سعود بن عبدالعزيز للعلوم الصحية,ندوة,الندوة الأولى للغسيل الكلوي للأطباء والتمريض في مستشفى الملك سلمان التخصصي بالطائف,6/19/2026,6/20/2026,فنادق,فندق إنتركونتيننتال الطائف,الطائف,GOV-2026-0666
وزارة المالية,دورة تدريبية,برنامج الرقابة الذاتية,6/14/2026,6/18/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0667
وزارة المالية,دورة تدريبية,برنامج الرقابة الذاتية,6/21/2026,6/25/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0668
الكلية التقنية للبنات بحائل,معرض تعريفي,مهارتك مستقبلك,5/13/2026,5/13/2026,صالات المناسبات,الكلية التقنية للبنات بحائل,حائل,GOV-2026-0669
المدينة الطبية الجامعية,معرض توعوي,الشهر العالمي لسرطان الفم,4/11/2026,4/12/2026,مراكز تجارية,الرياض بارك,الرياض,GOV-2026-0670
الهيئة السعودية للسياحة,ورشة عمل,برنامج إدارة الأفراد والأداء,4/19/2026,4/23/2026,فنادق,الكورت يارد - السفارات,الرياض,GOV-2026-0671
الهيئة السعودية للمدن الصناعية ومناطق التقنية,اجتماع,التحول الاستراتيجي لاستشراف آفاق المستقبل,4/7/2026,4/7/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0672
هية الحكومة الرقمية,ورشة عمل,ورش الإطلاق للجهات الحكومية لمؤشر الأمم المتحدة لتطور الحكومة الإلكترونية,4/20/2026,5/5/2026,فنادق,دبل تري من هيلتون الرياض المركز المالي,الرياض,GOV-2026-0673
الاكاديمية المالية,دورة تدريبية,مهارات الإدارة والإشراف,4/12/2026,4/13/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0674
الاكاديمية المالية,دورة تدريبية,مكافحة غسل الأموال وتمويل الارهاب,4/12/2026,4/16/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0675
الاكاديمية المالية,دورة تدريبية,برنامج مرونة الأعمال باستخدام باور بي آي,4/12/2026,4/15/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0676
الاكاديمية المالية,دورة تدريبية,التحليل النقدي وصياغة بلاغات الاشتباه من التفكير التحليلي إلى البلاغ الفعّال,4/12/2026,4/16/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0677
الاكاديمية المالية,دورة تدريبية,تطوير الخريجين السعوديين النخبة في إدارة الأصول,4/12/2026,4/16/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0680
الاكاديمية المالية,دورة تدريبية,المالية لغير الماليين,4/13/2026,4/16/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0681
الاكاديمية المالية,دورة تدريبية,مركز اختبارات متنقل للاكاديمية المالية,4/12/2026,4/16/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0682
الاكاديمية المالية,دورة تدريبية,معادن,4/12/2026,4/16/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0683
جامعة نجران,اجتماع,اجتماع لجنة رئاسة جامعة نجران,4/8/2026,4/8/2026,فنادق,الرياض - فندق فيرمونت,الرياض,GOV-2026-0684
صندوق التنمية السياحي,اجتماع,اجتماع أسبوعي دوري,4/9/2026,4/9/2026,فنادق,فندق جريد الرياض,الرياض,GOV-2026-0685
صندوق التنمية السياحي,اجتماع,اجتماع مناقشة تقرير الاداء الربعي,4/16/2026,4/16/2026,فنادق,فندق جي دبليو ماريوت,الرياض,GOV-2026-0686
وزارة الرياضة,اجتماع,الاجتماع السنوي لوكالة التخطيط الاستراتيجي والاستثمار,4/9/2026,4/9/2026,فنادق,فندق موفنبيك,الرياض,GOV-2026-0687
وزارة الصحة,ورشة عمل,ورشة عمل الموظفين المساهمين في تشييد المشاريع مكة العام و الليث  و إرادة,4/12/2026,4/12/2026,فنادق,فندق فوكو,الرياض,GOV-2026-0689
جامعة نجران,دورة تدريبية,التحول الرقمي في إدارة الموارد البشرية,4/12/2026,4/14/2026,فنادق,الخبر - هيلتون جاردن ان,الرياض,GOV-2026-0691
جامعة نجران,دورة تدريبية,مهارات التواصل داخل الفرق,4/14/2026,4/16/2026,فنادق,الخبر - فندق هيلتون جاردن ان,الخبر,GOV-2026-0692
جامعة القصيم,معرض توعوي,حملة توعوية صحية شاملة,4/16/2026,4/16/2026,مراكز تجارية,منتجع نخلا,بريدة,GOV-2026-0693
جامعة القصيم,معرض توعوي,خلف الآلم رحلة الفايبروميالجيا,5/1/2026,5/1/2026,مراكز تجارية,منتجع نخلا,بريدة,GOV-2026-0694
وزارة الثقافة,ورشة عمل,ورشة عمل المنطقة الرمادية,4/14/2026,4/14/2026,فنادق,فندق باب سمحان,الدرعية,GOV-2026-0695
اللجنة الوزارية للسلامة المرورية,ورشة عمل,موظف فوق العادة,4/16/2026,4/16/2026,فنادق,فندق الفيرمونت,الرياض,GOV-2026-0696
هيئة تقويم التعليم والتدريب,ورشة عمل,ورشة التغذية الراجعة لعمليات التقويم والتصنيف والاعتماد المدرسي,4/12/2026,4/13/2026,فنادق,فندق هوليدي ان العزيزية بمكة,مكة المكرمة,GOV-2026-0699
هيئة تقويم العليم والتدريب,ورشة عمل,اخصائي التقويم المدرسي,4/12/2026,4/13/2026,فنادق,فندق ستاينز ابها,ابها,GOV-2026-0700
صندوق تنمية الموارد البشرية,ورشة عمل,ورش عمل هدف للقيادة,4/12/2026,4/23/2026,فنادق,فندق نارسيس,الرياض,GOV-2026-0701
نادي الصقور السعودي,مزاد,المزاد الدولي لمزارع إنتاج الصقور,8/5/2026,8/25/2026,مراكز معارض و مؤتمرات,مركز الرياض للمعارض والمؤتمرات-ملهم,الرياض,GOV-2026-0703
الهيئة السعودية للمقيّمين المعتمدين,دورة تدريبية,إقامة دورات تدريبية لمناهج الهيئة السعودية للمقيّمين المعتمدين,4/12/2026,4/23/2026,فنادق,فندق التنفيذيين,الرياض,GOV-2026-0706
مستشفي الملك فيصل التخصصي ومركز الابحاث جدة,ورشة عمل,اهمية التغليم المشترك التداخلي بين المهنيين في مجال الرعاية الصحية,5/12/2026,5/12/2026,فنادق,فندق موفمبيك التحلية,جدة,GOV-2026-0707
هيئة تطوير محمية الملك عبدالعزيز الملكية,ورشة عمل,ورشة إدارة العلاقات في بيئة العمل,4/16/2026,4/16/2026,فنادق,فندق روش ريحان روتانا العليا,الرياض,GOV-2026-0709
وزارة الثقافة,ورشة عمل,ورشة عمل مشروع الأمير محمد بن سلمان لتطوير المساجد التاريخية,4/13/2026,4/13/2026,فنادق,فندق انتر كونتننتال / حي المؤتمرات / شارع الملك سعود,الرياض,GOV-2026-0710
وزارة البلديات و الاسكان,ورشة عمل,تحقيق بيئة رقابية واعية,4/14/2026,4/15/2026,فنادق,فندق نارسيس الرياض,الرياض,GOV-2026-0711
مركز وقاء,ورشة عمل,ورش عمل المكلفين بأعمال الحج,4/14/2026,4/14/2026,فنادق,فندق راديسون بلو,المدينة المنورة,GOV-2026-0712
الهيئة السعودية للملكية الفكرية,ورشة عمل,ورشة عمل تعريفية عن الملكية الفكرية,4/29/2026,4/29/2026,فنادق,فندق راديسون المطار,الرياض,GOV-2026-0713
مركز وقاء,ورشة عمل,ورش عمل المكلفين بأعمال الحج,4/16/2026,4/16/2026,فنادق,فندق شيرفان جدة,جدة,GOV-2026-0714
وزارة البيئة والمياه والزراعة,معرض تعريفي,المعارض التعريفية لمنتجات المانجو بمهرجان المانجو بالقنفذة,4/22/2026,4/24/2026,مرافق عامة,الحديقة العامة بالكورنيش الغربي بمحافظة القنفذة,القنفذة,GOV-2026-0715
جامعة الملك سعود,معرض توعوي,عدو بلا هوية,4/16/2026,4/17/2026,مراكز تجارية,غرناطة مول,الرياض,GOV-2026-0716
الكلية التقنية بالرس,مؤتمر,ابتكارات وهمم,5/5/2026,5/6/2026,غرف اجتماعات مستقله,الكلية التقنية بالرس- مبنى 10 (الصالة المتعددة الاغراض),الرس,GOV-2026-0718
المركز الوطني للأرصاد,دورة تدريبية,القيادة البصيرة,4/23/2026,4/23/2026,فنادق,"فندق ذا فينيو الكورنيش، جدة.",جدة,GOV-2026-0720
وزارة الصحة,ورشة عمل,ورشة عمل الموظفين المساهمين في تشييد المشاريع مكة العام و الليث و إرادة,4/19/2026,4/19/2026,فنادق,فندق فوكو,الرياض,GOV-2026-0722
الهيئة السعودية لتنظيم الكهرباء,ورشة عمل,ورشة عمل مناقشة مؤشرات الأداء لقطاع القانونية والتنظيمات,4/23/2026,4/23/2026,فنادق,جي دبليو ماريوت,الرياض,GOV-2026-0723
الهيئة الملكية للجبيل وينبع,ندوة,ندوة المسؤولية الاجتماعية,4/14/2026,4/14/2026,مرافق عامة,مسرح معهد ينبع التقني,ينبع الصناعية,GOV-2026-0726
هيئة الحكومة الرقمية,ورشة عمل,ورشة عمل لإطلاق أعمال رفع الجاهزية لوزارة الموارد البشرية والتنمية الاجتماعية لتقرير مؤشر الأمم المتحدة لتطور الحكومة الإلكترونية,4/20/2026,4/20/2026,فنادق,دبل تري هيلتون المركز المالي,الرياض,GOV-2026-0728
هيئة الحكومة الرقمية,ورشة عمل,ورشة عمل لإطلاق أعمال رفع الجاهزية لوزارة البلديات والإسكان لتقرير مؤشر الأمم المتحدة لتطور الحكومة الإلكترونية,4/26/2026,4/26/2026,فنادق,دبل تري هيلتون المركز المالي,الرياض,GOV-2026-0729
هيئة الحكومة الرقمية,ورشة عمل,ورشة عمل لإطلاق أعمال رفع الجاهزية للمركز الوطني لقياس أداء الأجهزة العامة الاجتماعية لتقرير مؤشر الأمم المتحدة لتطور الحكومة الإلكترونية,4/27/2026,4/27/2026,فنادق,دبل تري هيلتون المركز المالي,الرياض,GOV-2026-0730
هيئة الحكومة الرقمية,ورشة عمل,ورشة عمل لإطلاق أعمال رفع الجاهزية لوزارة الصحة لتقرير مؤشر الأمم المتحدة لتطور الحكومة الإلكترونية,4/30/2026,4/30/2026,فنادق,دبل تري هيلتون المركز المالي,الرياض,GOV-2026-0731
هيئة الحكومة الرقمية,ورشة عمل,ورشة عمل لإطلاق أعمال رفع الجاهزية لوزارة التعليم لتقرير مؤشر الأمم المتحدة لتطور الحكومة الإلكترونية,5/5/2026,5/5/2026,فنادق,دبل تري هيلتون المركز المالي,الرياض,GOV-2026-0733
جامعة المجمعة,دورة تدريبية,خبير تطبيقات أهداف التنمية المستدامة ٢٠٣٠,4/18/2026,4/22/2026,فنادق,فندق مداريم كراون,الرياض,GOV-2026-0738
جامعة المجمعة,دورة تدريبية,خبير تطبيقات أهداف التنمية المستدامة ٢٠٣٠,4/19/2026,4/23/2026,فنادق,فندق مداريم كراون,الرياض,GOV-2026-0739
الهيئة العامة للمساحة والمعلومات الجيومكانية,ورشة عمل,برنامج تدريبي على قياس الأداء وإعداد التقارير وتحليل وتفسير النتائج,4/23/2026,4/23/2026,فنادق,حياة ريجينسي,الرياض,GOV-2026-0740
الجمعية التنموية النسائية بالرس,معرض توعوي,بنون لوعي تربوي لجيل رقمي,5/11/2026,5/13/2026,مراكز معارض و مؤتمرات,مركز الأمير سلطان الحضاري,الرس,GOV-2026-0741
جامعة القصيم,معرض توعوي,اليوم العالمي لشلل الرعاش,4/23/2026,4/23/2026,مراكز تجارية,منتجع نخلا,بريدة,GOV-2026-0742
الهيئة السعودية للبيانات والذكاء الاصطناعي,دورة تدريبية,الذكاء الاصطناعي التطبيقي,4/19/2026,5/21/2026,فنادق,بريرا اليارموك,الرياض,GOV-2026-0743
الهيئة السعودية للبيانات والذكاء الاصطناعي,دورة تدريبية,خبراء معالجة اللغة العربية,4/19/2026,5/14/2026,فنادق,بريرا اليرموك,الرياض,GOV-2026-0744
مدينة الملك عبدالعزيز الطبية وزارة الحرس الوطني جدة,معرض توعوي,يوم التوعية بزراعة الكلى والتبرع بالاعضاء,5/14/2026,5/15/2026,مراكز تجارية,الاندلس مول - جدة,جدة,GOV-2026-0745
جامعة الملك سعود,معرض توعوي,منظار بلا انتظار,4/17/2026,4/18/2026,مرافق عامة,بانوراما مول,الرياض,GOV-2026-0748
المركز السعودي لكفاءة الطاقة,دورة تدريبية,CEM مدير طاقة معتمد,4/19/2026,4/23/2026,فنادق,فندق كراون بلازا الرقمية,الرياض,GOV-2026-0751
وزارة الصحة,ورشة عمل,العمر الصحي المتوقع والمسح الصحي العالمي,4/20/2026,4/21/2026,فنادق,فندق كروان بلازا الرقمية,الرياض,GOV-2026-0753
جامعة طيبة,معرض تعريفي,فعالية رواق الابداع ٢٠٢٦م,6/4/2026,6/4/2026,مراكز معارض و مؤتمرات,الغرفة التجارية بالمدينة المنورة,المدينة المنورة,GOV-2026-0755
الهيئة الملكية لمدينة مكة المكرمة والمشاعر المقدسة,ورشة عمل,ورشة عمل قطاع الاستراتيجية,4/19/2026,4/23/2026,فنادق,رديسون بلو الحمراء,جدة,GOV-2026-0756
معهد الإدارة العامة فرع منطقة مكة المكرمة,دورة تدريبية,برنامج الذكاء العاطفي,4/20/2026,4/22/2026,فنادق,فندق راديسون بلو الكورنيش - جدة,جدة,GOV-2026-0758
وزارة البلديات والاسكان,ورشة عمل,وعي يحمي وبلاغ يصون,4/28/2026,4/29/2026,فنادق,نارسيس الرياض,الرياض,GOV-2026-0759
وزارة البلديات والاسكان,ورشة عمل,وعي يحمي وبلاغ يصون,5/12/2026,5/13/2026,فنادق,نارسيس - الرياض,الرياض,GOV-2026-0760
وزارة البلديات و الاسكان,ورشة عمل,وعي يحمي وبلاغ يصون,12/24/2026,12/24/2026,فنادق,نارسيس الرياض,الرياض,GOV-2026-0761
